Año;Mes;Energia
2023;12;5921
2023;11;6594
2023;10;5368
2023;9;11740
2023;8;8450
2023;7;8982
2023;6;8807
2023;5;7204
2023;4;6526
2023;3;7894
2023;2;6708
2023;1;6582
2022;12;6938
2022;11;7573
2022;10;7639
2022;9;8167
2022;8;7122
2022;7;6704
2022;6;5899
2022;5;7220
2022;4;5982
2022;3;7070
2022;2;4729
2022;1;4661
2021;12;4626
2021;11;5052
2021;10;6846
2021;9;5746
2021;8;5119
2021;7;5319
2021;6;5636
2021;5;5273
2021;4;5509
2021;3;5149
2021;2;4094
2021;1;4231
2020;12;5336
2020;11;6784
2020;10;9605
2020;9;8743
2020;8;8407
2020;7;10242
2020;6;8854
2020;5;6980
2020;4;3878
2020;3;8020
2020;2;7557
2020;1;7277
2019;12;6087
2019;11;6475
2019;10;5445
2019;9;5833
2019;8;8955
2019;7;10713
2019;6;9149
2019;4;9127
2019;5;11956
2019;3;11695
2019;2;9438
2019;1;10449
2018;12;9396
2018;11;12116
2018;10;12118
2018;9;18393
2018;8;11709
2018;7;18109
2018;6;17010
2018;5;17695
2018;4;12210
2018;3;11860
2018;2;14471
2018;1;15036
2017;12;13450
2017;11;10087
2017;10;19321
2017;9;17568
2017;8;16472
2017;7;18103
2017;6;15946
2017;5;16800
2017;4;15392
2017;3;170778
2017;2;14580
2017;1;15054
2016;12;13129
2016;11;14931
2016;10;15047
2016;9;8910
2016;8;9532
2016;7;16216
2016;6;24622
2016;5;21609
2016;4;22165
2016;3;16025
2016;2;18206
2016;1;17188
2015;12;19004
2015;11;21561
2015;10;24373
2015;9;24435
2015;8;21500
2015;7;25360
2015;6;22886
2015;5;22886
2015;4;22165
2015;3;23516
2015;2;26090
2015;1;19424
